codigo_1;sigla_1;asignatura_1;codigo_2;sigla_2;asignatura_2;coordinacion_explicita;dependencia_normativa;coseno_tfidf;similitud_lsa;delta_semantico
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;0;0;0,0089;0,7563;0,7474
101545;EST;ESTADÍSTICA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0035;0,7486;0,7451
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;101547;CE;CALIDAD Y EMPRESA;0;0;0,0473;0,7921;0,7448
101536;OTRN;ORDENACIÓN DEL TERRITORIO Y RIESGOS NATURALES;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;0;0;0,0089;0,7537;0,7448
101524;QA;QUÍMICA AMBIENTAL;101563;FA;FISICOQUÍMICA DE AGUAS;1;0;0,1902;0,9336;0,7434
101552;ADA;ANÁLISIS DE DATOS AMBIENTALES;101558;CCMC;CONTROL DE LA CONTAMINACIÓN MEDIANTE CATÁLISIS;0;0;0,0136;0,7566;0,7430
101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;101563;FA;FISICOQUÍMICA DE AGUAS;0;0;0,0466;0,7892;0,7426
101542;SGAA;SISTEMAS DE GESTIÓN Y AUDITORÍAS AMBIENTALES;101553;IGA;INTERACCIÓN DE GENES Y AMBIENTE;0;0;0,0096;0,7519;0,7423
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101549;GE;GESTIÓN DE ECOSISTEMAS;0;0;0,0254;0,7663;0,7409
101523;FQ;FUNDAMENTOS DE QUÍMICA;101527;MC;METEOROLOGÍA Y CLIMATOLOGÍA;0;0;0,0249;0,7643;0,7394
101554;TTPSS;TEORÍAS Y TÉCNICAS PARA LA SOSTENIBILIDAD SOCIOAMBIENTAL;660059;OGP;ORGANIZACIÓN Y GESTIÓN DE PROYECTOS;0;0;0,0059;0,7444;0,7385
101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;660007;EDAF;EDAFOLOGÍA;0;0;0,0686;0,8068;0,7382
101545;EST;ESTADÍSTICA;101550;QAM;QUÍMICA ANALÍTICA MEDIOAMBIENTAL;0;0;0,0393;0,7766;0,7373
101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;101545;EST;ESTADÍSTICA;0;0;0,0000;0,7358;0,7358
101529;EA;ECONOMÍA AMBIENTAL;101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;0;0;0,0183;0,7540;0,7357
101528;FM;FUNDAMENTOS DE MATEMÁTICAS;101529;EA;ECONOMÍA AMBIENTAL;0;0;0,0060;0,7414;0,7354
101551;CNRAP;CONSERVACIÓN DE LA NATURALEZA:RESTAURACIÓN Y REHABILITACIÓN AMBIENTAL. PAISAJISMO;660006;GEO;GEOLOGÍA;0;0;0,2219;0,9569;0,7350
101530;AHMA;ACTIVIDADES HUMANAS Y MEDIO AMBIENTE;101539;BBPGM;BASES BOTÁNICAS PARA LA GESTIÓN DEL MEDIOAMBIENTE;0;0;0,0040;0,7384;0,7344
